,ts_code,name,market,publisher,category,base_date,base_point,list_date
456,852052.SI,专业市场(申万),SW,申万研究,三级行业指数,19991230,1000.0,20140221
457,852111.SI,人工景点(申万),SW,申万研究,三级行业指数,19991230,1000.0,
458,852112.SI,自然景点(申万),SW,申万研究,三级行业指数,19991230,1000.0,
459,852121.SI,酒店Ⅲ(申万),SW,申万研究,三级行业指数,19991230,1000.0,
460,852131.SI,旅游综合Ⅲ(申万),SW,申万研究,三级行业指数,19991230,1000.0,
461,852141.SI,餐饮Ⅲ(申万),SW,申万研究,三级行业指数,19991230,1000.0,
462,852151.SI,其他休闲服务Ⅲ(申万),SW,申万研究,三级行业指数,19991230,1000.0,20140221
463,852211.SI,通信运营Ⅲ(申万),SW,申万研究,三级行业指数,19991230,1000.0,
464,852221.SI,互联网信息服务(申万),SW,申万研究,三级行业指数,19991230,1000.0,
465,852222.SI,移动互联网服务(申万),SW,申万研究,三级行业指数,19991230,1000.0,
466,852223.SI,其他互联网服务(申万),SW,申万研究,三级行业指数,19991230,1000.0,
467,852224.SI,有线电视网络(申万),SW,申万研究,三级行业指数,19991230,1000.0,
468,852225.SI,软件开发(申万),SW,申万研究,三级行业指数,19991230,1000.0,20140221
469,852226.SI,IT服务(申万),SW,申万研究,三级行业指数,19991230,1000.0,20140221
470,852231.SI,计算机应用Ⅲ(申万),SW,申万研究,其他,19991230,1000.0,
471,852232.SI,软件开发及服务(申万),SW,申万研究,三级行业指数,20080602,1000.0,
472,852233.SI,系统集成(申万),SW,申万研究,三级行业指数,20080605,1000.0,
473,852241.SI,平面媒体(申万),SW,申万研究,三级行业指数,19991230,1000.0,
474,852242.SI,影视动漫(申万),SW,申万研究,三级行业指数,19991230,1000.0,
475,852243.SI,营销服务(申万),SW,申万研究,三级行业指数,19991230,1000.0,
476,852244.SI,其他文化传媒(申万),SW,申万研究,三级行业指数,19991230,1000.0,
477,852311.SI,综合Ⅲ(申万),SW,申万研究,三级行业指数,19991230,1000.0,
478,857221.SI,装修装饰Ⅲ(申万),SW,申万研究,三级行业指数,19991230,1000.0,20140221
479,857231.SI,城轨建设(申万),SW,申万研究,三级行业指数,19991230,1000.0,20140221
480,857232.SI,路桥施工(申万),SW,申万研究,三级行业指数,19991230,1000.0,20140221
481,857233.SI,水利工程(申万),SW,申万研究,三级行业指数,19991230,1000.0,20140221
482,857234.SI,铁路建设(申万),SW,申万研究,三级行业指数,19991230,1000.0,20140221
483,857235.SI,其他基础建设(申万),SW,申万研究,三级行业指数,19991230,1000.0,20140221
484,857241.SI,钢结构(申万),SW,申万研究,三级行业指数,19991230,1000.0,20140221
485,857242.SI,化学工程(申万),SW,申万研究,三级行业指数,19991230,1000.0,20140221
486,857243.SI,国际工程承包(申万),SW,申万研究,三级行业指数,19991230,1000.0,20140221
487,857244.SI,其他专业工程(申万),SW,申万研究,三级行业指数,19991230,1000.0,20140221
488,857251.SI,园林工程Ⅲ(申万),SW,申万研究,三级行业指数,19991230,1000.0,20140221
489,857321.SI,电网自动化(申万),SW,申万研究,三级行业指数,19991230,1000.0,20140221
490,857322.SI,工控自动化(申万),SW,申万研究,三级行业指数,19991230,1000.0,20140221
491,857323.SI,计量仪表(申万),SW,申万研究,三级行业指数,19991230,1000.0,20140221
492,857331.SI,综合电力设备商(申万),SW,申万研究,三级行业指数,19991230,1000.0,20140221
493,857332.SI,风电设备(申万),SW,申万研究,三级行业指数,19991230,1000.0,20140221
494,857333.SI,光伏设备(申万),SW,申万研究,三级行业指数,19991230,1000.0,20140221
495,857334.SI,火电设备(申万),SW,申万研究,三级行业指数,19991230,1000.0,20140221
496,857335.SI,储能设备(申万),SW,申万研究,三级行业指数,19991230,1000.0,20140221
497,857336.SI,其它电源设备(申万),SW,申万研究,三级行业指数,19991230,1000.0,20140221
498,857341.SI,高压设备(申万),SW,申万研究,三级行业指数,19991230,1000.0,20140221
499,857342.SI,中压设备(申万),SW,申万研究,三级行业指数,19991230,1000.0,20140221
500,857343.SI,低压设备(申万),SW,申万研究,三级行业指数,19991230,1000.0,20140221
501,857344.SI,线缆部件及其他(申万),SW,申万研究,三级行业指数,19991230,1000.0,20140221
502,857411.SI,航天装备Ⅲ(申万),SW,申万研究,三级行业指数,19991230,1000.0,20140221
503,857421.SI,航空装备Ⅲ(申万),SW,申万研究,三级行业指数,19991230,1000.0,20140221
504,857431.SI,地面兵装Ⅲ(申万),SW,申万研究,三级行业指数,19991230,1000.0,20140221
505,858811.SI,其他交运设备Ⅲ(申万),SW,申万研究,三级行业指数,19991230,1000.0,20140221
